a-2,a-1,a0,a1,a2
w1,7.239511E+05,-3.712240E+04,6.994247E+02,-5.960600E+00,1.911500E-02
w2,-1.003889E+06,5.321767E+04,-1.061280E+03,9.218228E+00,-2.971000E-02
w3,2.960709E+06,-1.529250E+05,2.937007E+03,-2.507970E+01,8.016800E-02
w4,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
w5,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
f12,0.000000E+00,4.263902E+03,-1.155913E+02,7.570149E-01,0.000000E+00
f13,1.119249E+07,-6.145176E+05,1.262742E+04,-1.151042E+02,3.926608E-01
f14,0.000000E+00,1.304504E+03,-4.005555E+01,2.699150E-01,0.000000E+00
f15,0.000000E+00,9.934648E+02,-3.099497E+01,2.088893E-01,0.000000E+00
f23,-1.471647E+07,7.959634E+05,-1.612698E+04,1.450099E+02,-4.884632E-01
f24,-2.948921E+06,1.531386E+05,-2.973604E+03,2.558266E+01,-8.231989E-02
f25,0.000000E+00,-3.255634E+02,8.868906E+00,-8.962465E-02,0.000000E+00
f34,0.000000E+00,-7.376386E+03,2.127720E+02,-1.561413E+00,0.000000E+00
f35,1.619421E+07,-8.810426E+05,1.794348E+04,-1.621423E+02,5.484809E-01
f45,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
