a-2,a-1,a0,a1,a2
7.239511E+05,-3.712240E+04,6.994247E+02,-5.960600E+00,1.911500E-02
-1.003889E+06,5.321767E+04,-1.061280E+03,9.218228E+00,-2.971000E-02
2.960709E+06,-1.529250E+05,2.937007E+03,-2.507970E+01,8.016800E-02
-1.196937E+07,5.918471E+05,-1.096893E+04,9.016712E+01,-2.774830E-01
1.976834E+06,-9.994309E+04,1.877144E+03,-1.566480E+01,4.888082E-02
0.000000E+00,-1.356532E+04,3.139547E+02,-1.841999E+00,0.000000E+00
0.000000E+00,-1.882720E+03,4.218671E+01,-2.417988E-01,0.000000E+00
0.000000E+00,-2.400574E+03,5.160890E+01,-3.031028E-01,0.000000E+00
0.000000E+00,-1.774140E+03,3.782541E+01,-2.240076E-01,0.000000E+00
0.000000E+00,1.726375E+03,-4.108261E+01,2.179766E-01,0.000000E+00
0.000000E+00,6.058910E+01,-1.503568E+00,4.654325E-03,0.000000E+00
0.000000E+00,2.197821E+03,-5.276711E+01,2.908368E-01,0.000000E+00
0.000000E+00,3.478408E+03,-8.432932E+01,4.792144E-01,0.000000E+00
0.000000E+00,-1.160065E+03,2.757749E+01,-1.673775E-01,0.000000E+00
5.011020E+07,-2.459504E+06,4.519053E+04,-3.685127E+02,1.125241E+00
