a-2,a-1,a0,a1,a2
7.847786E+05,-4.537495E+04,9.749806E+02,-9.469332E+00,3.453233E-02
-5.807046E+05,3.252370E+04,-6.805906E+02,6.068121E+00,-1.968821E-02
2.607653E+06,-1.631119E+05,3.810985E+03,-3.966898E+01,1.545815E-01
2.465787E+06,-1.402192E+05,2.950590E+03,-2.744105E+01,9.500517E-02
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.471085E+07,-2.205965E+06,5.244015E+04,-5.527111E+02,2.179239E+00
-4.387806E+06,2.824818E+05,-6.802257E+03,7.258652E+01,-2.896790E-01
-1.373483E+07,8.610013E+05,-2.019425E+04,2.099978E+02,-8.174428E-01
-9.427162E+06,5.887002E+05,-1.374327E+04,1.421182E+02,-5.496933E-01
-3.369139E+07,2.133674E+06,-5.059371E+04,5.321944E+02,-2.095371E+00
-3.347302E+07,2.117387E+06,-5.012168E+04,5.261841E+02,-2.067094E+00
7.546774E+05,-4.032991E+04,8.067279E+02,-7.203533E+00,2.396519E-02
5.718500E+06,-3.626390E+05,8.610839E+03,-9.076811E+01,3.580585E-01
-2.366888E+06,1.494353E+05,-3.533083E+03,3.705588E+01,-1.454802E-01
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
