a-2,a-1,a0,a1,a2
w1,-4.246907E+07,2.079413E+06,-3.815075E+04,3.106169E+02,-9.471181E-01
w2,-5.807046E+05,3.252370E+04,-6.805906E+02,6.068121E+00,-1.968821E-02
w3,-4.630479E+06,2.124918E+05,-3.657892E+03,2.781914E+01,-7.901285E-02
w4,2.773858E+06,-2.177477E+05,5.432130E+03,-5.557415E+01,2.029216E-01
w5,3.671393E+07,-1.786088E+06,3.254308E+04,-2.633335E+02,7.983658E-01
f12,-2.026024E+08,9.895356E+06,-1.810113E+05,1.469752E+03,-4.469718E+00
f13,6.178712E+07,-3.011664E+06,5.497792E+04,-4.454948E+02,1.351992E+00
f14,-3.307617E+07,1.615544E+06,-2.955610E+04,2.399735E+02,-7.297883E-01
f15,-6.430945E+07,3.116406E+06,-5.655942E+04,4.555891E+02,-1.374479E+00
f23,-1.059213E+08,5.153925E+06,-9.392081E+04,7.596286E+02,-2.300871E+00
f24,2.524570E+07,-1.234503E+06,2.260701E+04,-1.837480E+02,5.592330E-01
f25,7.546774E+05,-4.032991E+04,8.067279E+02,-7.203533E+00,2.396519E-02
f34,4.294706E+07,-2.169124E+06,4.097445E+04,-3.431319E+02,1.074614E+00
f35,-2.403283E+07,1.167052E+06,-2.122801E+04,1.714103E+02,-5.184534E-01
f45,-3.623450E+07,2.033703E+06,-4.173296E+04,3.732252E+02,-1.232508E+00
